Date;Close;CloseDolar
2004-08-02;18.24;5.98
2004-08-03;18.04;5.91
2004-08-04;18.02;5.9
2004-08-05;18.06;5.89
2004-08-06;18.13;5.98
2004-08-09;17.97;5.91
2004-08-10;17.98;5.94
2004-08-11;18.08;5.95
2004-08-12;18.07;5.95
2004-08-13;18.04;5.97
2004-08-16;18.2;6.05
2004-08-17;18.22;6.08
2004-08-18;18.26;6.12
2004-08-19;18.35;6.14
2004-08-20;18.58;6.27
2004-08-23;18.65;6.29
2004-08-24;18.81;6.36
2004-08-25;18.77;6.36
2004-08-26;18.73;6.34
2004-08-27;18.97;6.42
2004-08-30;18.94;6.43
2004-08-31;18.97;6.48
2004-09-01;19.11;6.52
2004-09-02;19.13;6.51
2004-09-03;18.99;6.48
2004-09-06;19.11;6.56
2004-09-09;19.02;6.56
2004-09-10;19.07;6.57
2004-09-13;19.1;6.56
2004-09-14;19.08;6.56
2004-09-15;19.2;6.62
2004-09-16;19.28;6.68
2004-09-17;19.19;6.69
2004-09-20;19.14;6.66
2004-09-21;19.1;6.66
2004-09-22;19.06;6.61
2004-09-23;18.94;6.57
2004-09-24;18.97;6.61
2004-09-27;19.14;6.66
2004-09-28;19.01;6.63
2004-09-29;18.69;6.55
2004-09-30;18.65;6.52
2004-10-01;18.51;6.52
2004-10-04;18.41;6.51
2004-10-05;18.46;6.52
2004-10-06;18.27;6.43
2004-10-07;18.29;6.42
2004-10-08;18.33;6.48
2004-10-11;18.31;6.49
2004-10-13;18.42;6.49
2004-10-14;18.47;6.43
2004-10-15;18.49;6.47
2004-10-18;18.36;6.42
2004-10-19;18.39;6.39
2004-10-20;18.24;6.35
2004-10-21;18.05;6.32
2004-10-22;18.09;6.3
2004-10-25;18.1;6.28
2004-10-26;18.04;6.3
2004-10-27;18.07;6.31
2004-10-28;18.01;6.28
2004-10-29;18.01;6.3
2004-11-01;17.87;6.26
2004-11-03;17.84;6.3
2004-11-04;17.86;6.33
2004-11-05;17.86;6.33
2004-11-08;17.84;6.29
2004-11-09;17.82;6.3
2004-11-10;17.69;6.26
2004-11-11;17.64;6.26
2004-11-12;17.66;6.33
2004-11-16;17.8;6.39
2004-11-17;17.79;6.44
2004-11-18;17.86;6.43
2004-11-19;17.84;6.4
2004-11-22;17.58;6.38
2004-11-23;17.64;6.43
2004-11-24;17.61;6.39
2004-11-25;17.54;6.39
2004-11-26;17.52;6.4
2004-11-29;17.4;6.33
2004-11-30;17.37;6.39
2004-12-01;17.35;6.4
2004-12-02;17.17;6.28
2004-12-03;17.23;6.36
2004-12-06;17.09;6.28
2004-12-07;17.13;6.23
2004-12-08;17.02;6.17
2004-12-09;17.04;6.13
2004-12-10;17.02;6.13
2004-12-13;17.02;6.16
2004-12-14;17;6.17
2004-12-15;17.02;6.25
2004-12-16;17.04;6.22
2004-12-17;16.92;6.24
2004-12-20;16.9;6.32
2004-12-21;17.15;6.35
2004-12-22;17.27;6.38
2004-12-23;17.25;6.38
2004-12-27;17.35;6.45
2004-12-28;17.33;6.44
2004-12-29;17.36;6.46
2004-12-30;17.37;6.45
2005-01-03;17.03;6.37
2005-01-04;17.62;6.53
2005-01-05;17.88;6.6
2005-01-06;17.87;6.56
2005-01-07;17.9;6.61
2005-01-10;17.96;6.64
2005-01-11;17.96;6.6
2005-01-12;17.75;6.57
2005-01-13;17.95;6.65
2005-01-14;18.02;6.67
2005-01-17;18.01;6.66
2005-01-18;17.97;6.61
2005-01-19;17.91;6.61
2005-01-20;17.87;6.57
2005-01-21;17.81;6.59
2005-01-24;17.8;6.64
2005-01-25;17.7;6.6
2005-01-26;17.84;6.7
2005-01-27;17.75;6.66
2005-01-28;17.79;6.72
2005-01-31;17.75;6.8
2005-02-01;17.72;6.79
2005-02-02;17.65;6.71
2005-02-03;17.57;6.75
2005-02-04;17.64;6.75
2005-02-09;17.49;6.71
2005-02-10;17.58;6.71
2005-02-11;17.56;6.7
2005-02-14;17.33;6.72
2005-02-15;17.33;6.7
2005-02-16;17.28;6.69
2005-02-17;17.3;6.75
2005-02-18;17.28;6.71
2005-02-21;17.28;6.71
2005-02-22;17.29;6.65
2005-02-23;17.29;6.67
2005-02-24;17.46;6.63
2005-02-25;17.57;6.71
2005-02-28;17.9;6.91
2005-03-01;18.2;6.95
2005-03-02;18.42;6.97
2005-03-03;18.81;7.01
2005-03-04;18.86;7.1
2005-03-07;18.84;7.03
2005-03-08;19.19;7.12
2005-03-09;19.28;7.13
2005-03-10;19.47;7.18
2005-03-11;19.72;7.25
2005-03-14;19.88;7.22
2005-03-15;20.5;7.41
2005-03-16;21.11;7.64
2005-03-17;21.24;7.81
2005-03-18;21.2;7.8
2005-03-21;21.14;7.75
2005-03-22;21.13;7.83
2005-03-23;21.12;7.68
2005-03-24;20.76;7.58
2005-03-28;20.64;7.58
2005-03-29;20.58;7.63
2005-03-30;20.74;7.75
2005-03-31;20.42;7.65
2005-04-01;20.16;7.58
2005-04-04;20.21;7.65
2005-04-05;20.13;7.66
2005-04-06;19.84;7.63
2005-04-07;19.71;7.59
2005-04-08;19.81;7.66
2005-04-11;19.86;7.68
2005-04-12;19.63;7.63
2005-04-13;19.33;7.54
2005-04-14;19.35;7.51
2005-04-15;19.15;7.31
2005-04-18;18.93;7.26
2005-04-19;18.75;7.28
2005-04-20;18.87;7.37
2005-04-22;18.71;7.37
2005-04-25;18.84;7.47
2005-04-26;18.86;7.44
2005-04-27;18.86;7.5
2005-04-28;19;7.44
2005-04-29;18.94;7.49
2005-05-02;19.07;7.6
2005-05-03;19.08;7.65
2005-05-04;19.15;7.76
2005-05-05;19.2;7.79
2005-05-06;19.25;7.82
2005-05-09;19.16;7.82
2005-05-10;18.9;7.64
2005-05-11;18.93;7.71
2005-05-12;18.9;7.66
2005-05-13;19.03;7.69
2005-05-16;19.04;7.69
2005-05-17;19.09;7.69
2005-05-18;19.14;7.78
2005-05-19;19.13;7.82
2005-05-20;19.06;7.81
2005-05-23;19.07;7.86
2005-05-24;19.02;7.83
2005-05-25;18.92;7.85
2005-05-27;18.75;7.87
2005-05-30;18.8;7.93
2005-05-31;18.82;7.81
2005-06-01;18.82;7.7
2005-06-02;18.89;7.82
2005-06-03;19;7.83
2005-06-06;19.28;7.87
2005-06-07;19.49;7.91
2005-06-08;19.57;7.95
