Date;Close;CloseDolar
2006-03-13;27.66;12.96
2006-03-14;27.45;12.91
2006-03-15;27.58;13
2006-03-16;26.97;12.78
2006-03-17;26.96;12.68
2006-03-20;27.36;12.73
2006-03-21;27.55;12.67
2006-03-22;27.84;12.94
2006-03-23;27.82;12.87
2006-03-24;27.91;12.96
2006-03-27;28.48;13.12
2006-03-28;28.7;12.99
2006-03-29;28.69;12.96
2006-03-30;28.33;12.94
2006-03-31;27.54;12.72
2006-04-03;26.96;12.61
2006-04-04;26.57;12.45
2006-04-05;26.6;12.46
2006-04-06;26.79;12.58
2006-04-07;26.76;12.45
2006-04-10;26.74;12.4
2006-04-11;26.8;12.52
2006-04-12;26.74;12.54
2006-04-13;26.82;12.54
2006-04-17;27.28;12.77
2006-04-18;27.26;12.88
2006-04-19;27.1;12.82
2006-04-20;27.04;12.75
2006-04-24;27.33;12.93
2006-04-25;27.44;12.9
2006-04-26;27.32;12.9
2006-04-27;27.15;12.9
2006-04-28;27.67;13.26
2006-05-02;27.59;13.39
2006-05-03;27.58;13.29
2006-05-04;27.82;13.43
2006-05-05;27.76;13.51
2006-05-08;27.28;13.18
2006-05-09;27.86;13.52
2006-05-10;28.13;13.65
2006-05-11;28.36;13.5
2006-05-12;28.88;13.47
2006-05-15;28.83;13.19
2006-05-16;28.3;13.25
2006-05-17;29.03;13.17
2006-05-18;29.05;13.36
2006-05-19;28.61;12.96
2006-05-22;29.4;12.84
2006-05-23;29.23;12.75
2006-05-24;30.26;12.61
2006-05-25;29.63;12.91
2006-05-26;29.04;12.96
2006-05-29;28.74;12.63
2006-05-30;30.14;13.05
2006-05-31;29.5;12.7
2006-06-01;29.28;13
2006-06-02;29.97;13.16
2006-06-05;30.02;13.34
2006-06-06;29.84;13.22
2006-06-09;29.3;12.96
2006-06-12;30;13.1
2006-06-13;30.26;13.14
2006-06-14;29.88;13.1
2006-06-16;29.84;13.29
2006-06-19;28.94;12.84
2006-06-20;29.18;12.99
2006-06-21;29.19;13.08
2006-06-22;29.25;13.04
2006-06-23;29.19;13.09
2006-06-26;28.55;12.8
2006-06-27;28.76;12.85
2006-06-28;29.16;13.14
2006-06-29;29.04;13.37
2006-06-30;29.17;13.47
2006-07-03;29.39;13.48
2006-07-04;29.57;13.63
2006-07-05;29.46;13.39
2006-07-06;29.9;13.75
2006-07-07;29.49;13.52
2006-07-10;29.54;13.55
2006-07-11;30.08;13.77
2006-07-12;29.74;13.52
2006-07-13;29.76;13.4
2006-07-14;29.9;13.51
2006-07-17;29.42;13.34
2006-07-18;29.51;13.46
2006-07-19;29.35;13.48
2006-07-20;29.38;13.39
2006-07-21;29.35;13.35
2006-07-24;29.37;13.4
2006-07-25;29.95;13.6
2006-07-26;30.14;13.76
2006-07-27;29.5;13.46
2006-07-28;29.49;13.57
2006-07-31;29.3;13.47
2006-08-01;29.27;13.36
2006-08-02;29.83;13.68
2006-08-03;29.56;13.58
2006-08-04;29.76;13.63
2006-08-07;29.15;13.34
2006-08-08;29.14;13.38
2006-08-09;29.01;13.38
2006-08-10;29.05;13.45
2006-08-11;29.01;13.4
2006-08-14;29.03;13.43
2006-08-15;28.95;13.52
