date,est,y_test
2019-02-08,10.745771,10.71
2019-02-11,10.754001,10.69
2019-02-12,10.764095,10.99
2019-02-13,11.044018,10.88
2019-02-14,10.963642,10.9
2019-02-15,10.953628,11.1
2019-02-19,11.134138,11.23
2019-02-20,11.27943,11.12
2019-02-21,11.207577,11.07
2019-02-22,11.150104,11.15
2019-02-25,11.184744,11.32
2019-02-26,11.354732,11.22
2019-02-27,11.292239,11.22
2019-02-28,11.255348,11.29
2019-03-01,11.29464,11.02
2019-03-06,11.124401,10.9
2019-03-07,10.940447,10.81
2019-03-08,10.846678,10.89
2019-03-11,10.915592,10.94
2019-03-12,10.96902,10.8
2019-03-13,10.838944,10.6
2019-03-14,10.610269,10.41
2019-03-15,10.3903885,10.37
2019-03-18,10.356839,10.44
2019-03-19,10.423556,10.25
2019-03-20,10.255442,10.17
2019-03-21,10.165909,10.04
2019-03-22,10.0546665,9.84
2019-03-25,9.874295,10.06
2019-03-26,10.096077,9.96
2019-03-27,10.035173,9.73
2019-03-28,9.782529,9.87
2019-03-29,9.908054,9.82
2019-04-01,9.887847,9.76
2019-04-02,9.81318,9.92
2019-04-03,9.939492,9.97
2019-04-04,10.033764,9.95
2019-04-05,10.064537,9.85
2019-04-08,9.927034,9.72
2019-04-09,9.786349,9.62
2019-04-10,9.675656,9.69
2019-04-11,9.723467,9.64
2019-04-12,9.694164,9.44
2019-04-15,9.533831,9.49
2019-04-16,9.569245,9.43
2019-04-17,9.526938,9.2
2019-04-18,9.333861,9.12
2019-04-22,9.222987,9.14
2019-04-23,9.175541,9.1
2019-04-24,9.159576,8.76
2019-04-25,8.877773,8.78
2019-04-26,8.816641,8.72
2019-04-29,8.812651,8.58
2019-04-30,8.672566,8.58
2019-05-02,8.659439,8.53
2019-05-03,8.627695,8.44
2019-05-06,8.583721,8.31
2019-05-07,8.454894,8.27
2019-05-08,8.405337,8.37
2019-05-09,8.483714,8.36
2019-05-10,8.490765,8.35
2019-05-13,8.484603,8.33
2019-05-14,8.48082,8.38
2019-05-15,8.557076,8.43
2019-05-16,8.5665455,8.48
2019-05-17,8.587519,8.46
2019-05-20,8.628849,8.6
2019-05-21,8.762033,8.79
2019-05-22,8.956982,8.83
2019-05-23,8.990841,8.82
2019-05-24,8.99381,8.9
2019-05-28,9.03248,9.29
2019-05-29,9.386003,9.51
2019-05-30,9.686184,9.65
2019-05-31,9.808294,9.82
2019-06-03,9.963001,9.69
2019-06-04,9.8608675,9.88
2019-06-05,9.933042,9.69
2019-06-06,9.858635,9.64
2019-06-07,9.810458,9.61
2019-06-10,9.737687,9.47
2019-06-11,9.570478,9.41
2019-06-12,9.45203,9.61
2019-06-13,9.597911,9.67
2019-06-14,9.733097,9.84
2019-06-17,9.89366,9.89
2019-06-18,9.990087,10.12
