date,est,y_cv
2016-07-26,14.155592,14.69
2016-07-27,14.372491,14.67
2016-07-28,14.367799,14.53
2016-07-29,14.232569,14.89
2016-08-01,14.575856,14.84
2016-08-02,14.516881,14.72
2016-08-03,14.420908,14.63
2016-08-04,14.327462,14.83
2016-08-05,14.477958,14.87
2016-08-08,14.510785,14.81
2016-08-09,14.443011,14.84
2016-08-10,14.528915,14.85
2016-08-11,14.523456,14.63
2016-08-12,14.266601,14.36
2016-08-15,14.100424,14.28
2016-08-16,14.084612,14.07
2016-08-17,13.883232,14.01
2016-08-18,13.839938,13.77
2016-08-19,13.626628,13.9
2016-08-22,13.774393,13.88
2016-08-23,13.71682,13.79
2016-08-24,13.58935,13.76
2016-08-25,13.640606,13.75
2016-08-26,13.525767,13.37
2016-08-29,13.18579,13.4
2016-08-30,13.275756,13.21
2016-08-31,13.052358,13.25
2016-09-01,13.084109,13.05
2016-09-02,12.898129,13.22
2016-09-06,13.004372,13.32
2016-09-08,13.141422,13.05
2016-09-09,12.871149,12.86
2016-09-12,12.796992,12.93
2016-09-13,12.850845,12.71
2016-09-14,12.610173,12.66
2016-09-15,12.550066,12.87
2016-09-16,12.730311,13.11
2016-09-19,12.96282,12.93
2016-09-20,12.78131,12.93
2016-09-21,12.788355,13.06
2016-09-22,12.904277,12.83
2016-09-23,12.676995,12.65
2016-09-26,12.568062,12.47
2016-09-27,12.354338,12.63
2016-09-28,12.504327,12.68
2016-09-29,12.525524,12.62
2016-09-30,12.504751,12.77
2016-10-03,12.681309,13.09
2016-10-04,13.008239,13.12
2016-10-05,12.97032,13.43
2016-10-06,13.300699,13.57
2016-10-07,13.442371,13.57
2016-10-10,13.454665,13.66
2016-10-11,13.50942,13.67
2016-10-13,13.546771,13.76
2016-10-14,13.593552,13.57
2016-10-17,13.401656,13.43
2016-10-18,13.311289,13.38
2016-10-19,13.260941,13.29
2016-10-20,13.127847,13.3
2016-10-21,13.166297,12.99
2016-10-24,12.834871,12.95
2016-10-25,12.835996,12.9
2016-10-26,12.760635,12.72
2016-10-27,12.562078,12.74
2016-10-28,12.60241,12.61
2016-10-31,12.523398,12.83
2016-11-01,12.765973,12.6
