,epochs,batch_size,rmse,mape
0,50,8,0.24649209761399998,4.184040903436332
1,50,16,0.28688228490589385,4.001624079788668
2,50,32,0.318634471081392,4.2530044870794335
3,50,64,0.3372305384250756,4.252788572535439
4,100,8,0.3092400426154852,4.5557261825235225
5,100,16,0.23826013494795076,4.0881074439582905
6,100,32,0.2799526102892931,4.160386426523257
7,100,64,0.3022132275383372,4.15165016197137
8,150,8,0.26645111521461184,4.483354151710334
9,150,16,0.2287859431810076,4.142193949857445
10,150,32,0.2620245039932973,4.280416182260883
11,150,64,0.27858786822254383,4.223105586785836
12,200,8,0.24247187030198536,4.352045872391236
13,200,16,0.22206839750524876,4.136470754307502
14,200,32,0.25177488919218066,4.22286730133671
15,200,64,0.2558795740922438,4.114381536572363
16,250,8,0.2254109557118608,4.212442827969316
17,250,16,0.2628829855301691,4.437398776079675
18,250,32,0.23237161675914672,4.123181834152949
19,250,64,0.25983727661362405,4.2900172970366395
20,300,8,0.22412489941527874,4.237892032487643
21,300,16,0.2278014028474979,4.256614907481855
22,300,32,0.22738309869743162,4.2039997811481795
23,300,64,0.25066431226126573,4.259127013679386
24,350,8,0.23703325562166355,4.346004171344197
25,350,16,0.22953705993870255,4.249872739008116
26,350,32,0.23746779426480105,4.310380060134655
27,350,64,0.2661891372894242,4.375152090653475
28,400,8,0.2282749036873587,4.292748837020908
29,400,16,0.22315786689323255,4.195477578776456
30,400,32,0.2306726934880338,4.210471136816188
31,400,64,0.23771315003988172,4.210892046701688
32,500,8,0.22306968989103831,4.154411801875779
33,500,16,0.22452633025658678,4.254721646033079
34,500,32,0.23267574324723192,4.255584066140385
35,500,64,0.2456886684479872,4.313972874746814
36,600,8,0.24274871755824776,4.333667996422066
37,600,16,0.23323594734519446,4.331241124383813
38,600,32,0.22907195385619036,4.274036145066687
39,600,64,0.23615093900205594,4.279407899965592
