date,est,y_test
2019-02-04,10.96133,10.81
2019-02-05,10.945073,10.8
2019-02-06,10.926997,10.79
2019-02-07,10.915332,10.68
2019-02-08,10.802877,10.71
2019-02-11,10.818475,10.69
2019-02-12,10.806732,10.99
2019-02-13,11.102183,10.88
2019-02-14,11.019119,10.9
2019-02-15,11.00378,11.1
2019-02-18,11.212547,10.99
2019-02-19,11.12386,11.23
2019-02-20,11.340211,11.12
2019-02-21,11.258207,11.07
2019-02-22,11.180825,11.15
2019-02-25,11.259799,11.32
2019-02-26,11.4438925,11.22
2019-02-27,11.349117,11.22
2019-02-28,11.322884,11.29
2019-03-01,11.398309,11.02
2019-03-06,11.133673,10.9
2019-03-07,10.980541,10.81
2019-03-08,10.896009,10.89
2019-03-11,10.977694,10.94
2019-03-12,11.041759,10.8
2019-03-13,10.898068,10.6
2019-03-14,10.679886,10.41
2019-03-15,10.484152,10.37
2019-03-18,10.445387,10.44
2019-03-19,10.530423,10.25
2019-03-20,10.355676,10.17
2019-03-21,10.251363,10.04
2019-03-22,10.130608,9.84
2019-03-25,9.933344,10.06
2019-03-26,10.139597,9.96
2019-03-27,10.08778,9.73
2019-03-28,9.837804,9.87
2019-03-29,9.953437,9.82
2019-04-01,9.947078,9.76
2019-04-02,9.875992,9.92
2019-04-03,10.027645,9.97
2019-04-04,10.104568,9.95
2019-04-05,10.078888,9.85
2019-04-08,9.97299,9.72
2019-04-09,9.839487,9.62
2019-04-10,9.739308,9.69
2019-04-11,9.809837,9.64
2019-04-12,9.778249,9.44
2019-04-15,9.570227,9.49
2019-04-16,9.595103,9.43
2019-04-17,9.561385,9.2
2019-04-18,9.331887,9.12
2019-04-22,9.231242,9.14
2019-04-23,9.263553,9.1
2019-04-24,9.239472,8.76
2019-04-25,8.908485,8.78
2019-04-26,8.886763,8.72
2019-04-29,8.865296,8.58
2019-04-30,8.730651,8.58
2019-05-02,8.713386,8.53
2019-05-03,8.678227,8.44
2019-05-06,8.589557,8.31
2019-05-07,8.459815,8.27
2019-05-08,8.415404,8.37
2019-05-09,8.518398,8.36
2019-05-10,8.526507,8.35
2019-05-13,8.50312,8.33
2019-05-14,8.479465,8.38
2019-05-15,8.526927,8.43
2019-05-16,8.584305,8.48
2019-05-17,8.634184,8.46
2019-05-20,8.6164055,8.6
2019-05-21,8.742248,8.79
2019-05-22,8.943571,8.83
2019-05-23,8.992518,8.82
2019-05-24,8.96753,8.9
2019-05-27,9.039456,8.88
2019-05-28,9.036617,9.29
2019-05-29,9.426392,9.51
2019-05-30,9.691566,9.65
2019-05-31,9.813836,9.82
2019-06-03,9.968923,9.69
2019-06-04,9.850499,9.88
2019-06-05,10.011759,9.69
2019-06-06,9.8611555,9.64
2019-06-07,9.778785,9.61
2019-06-10,9.7535925,9.47
2019-06-11,9.6184025,9.41
2019-06-12,9.540077,9.61
2019-06-13,9.733115,9.67
2019-06-14,9.818573,9.84
2019-06-17,9.970288,9.89
2019-06-18,10.0278015,10.12
2019-06-19,10.248619,10.05
2019-06-21,10.202031,10.1
2019-06-24,10.228887,10.08
2019-06-25,10.220927,10.09
2019-06-26,10.228468,10.11
2019-06-27,10.248807,10.12
2019-06-28,10.256999,10.13
2019-07-01,10.262047,9.96
2019-07-02,10.091898,9.85
2019-07-03,9.962503,9.88
2019-07-04,9.992158,9.97
2019-07-05,10.095267,9.77
2019-07-08,9.905605,9.83
2019-07-09,9.930462,9.94
2019-07-10,10.061525,9.97
2019-07-11,10.102619,9.85
2019-07-12,9.976614,9.95
2019-07-15,10.058568,9.9
2019-07-16,10.034722,9.99
2019-07-17,10.112961,9.93
2019-07-18,10.065986,9.92
2019-07-19,10.04282,9.84
2019-07-22,9.967195,9.83
2019-07-23,9.950781,9.67
2019-07-24,9.799897,9.71
2019-07-25,9.8215275,9.62
2019-07-26,9.751547,9.65
2019-07-29,9.768019,9.66
2019-07-30,9.785795,9.57
2019-07-31,9.697756,9.5
2019-08-01,9.618037,9.36
2019-08-02,9.48435,9.23
2019-08-05,9.352815,9.05
2019-08-06,9.179667,9.15
2019-08-07,9.266483,9.12
2019-08-08,9.266056,9.31
2019-08-09,9.435225,9.29
