date,est,y_cv
2020-12-17,14.906635,14.6
2020-12-18,14.959569,14.59
2020-12-21,14.962471,14.66
2020-12-22,14.982893,14.97
2020-12-23,15.161905,14.93
2020-12-28,15.260968,14.89
2020-12-29,15.245941,15.13
2020-12-30,15.331352,15.17
2021-01-04,15.419224,15.55
2021-01-05,15.654044,15.51
2021-01-06,15.759052,15.58
2021-01-07,15.793181,15.34
2021-01-08,15.65858,15.25
2021-01-11,15.513119,15.05
2021-01-12,15.34872,15.62
2021-01-13,15.5850525,15.82
2021-01-14,15.903697,16.2
2021-01-15,16.235079,15.99
2021-01-18,16.2329,16.05
2021-01-19,16.183485,15.93
2021-01-20,16.09405,16.06
2021-01-21,16.123709,15.88
2021-01-22,16.066587,15.43
2021-01-25,15.779466,15.23
2021-01-26,15.50191,15.76
2021-01-27,15.684524,15.53
2021-01-28,15.765595,15.31
2021-01-29,15.638205,15.2
2021-02-01,15.473215,15.4
2021-02-02,15.5100765,15.5
2021-02-03,15.642879,15.5
2021-02-04,15.7156515,15.22
2021-02-05,15.572325,15.37
2021-02-08,15.536207,15.39
2021-02-09,15.571293,15.49
2021-02-10,15.657751,15.46
2021-02-11,15.685689,15.43
2021-02-12,15.661531,15.51
2021-02-17,15.682082,15.46
2021-02-18,15.677363,15.45
2021-02-19,15.662277,15.6
2021-02-22,15.733648,15.6
2021-02-23,15.785172,15.61
2021-02-24,15.802075,15.68
2021-02-25,15.836511,15.55
2021-02-26,15.78462,15.3
2021-03-01,15.607803,15.29
2021-03-02,15.499887,15.2
2021-03-03,15.432534,15.14
2021-03-04,15.385709,15.64
2021-03-05,15.643596,15.64
2021-03-08,15.828466,15.54
2021-03-09,15.814016,15.53
2021-03-10,15.750091,16.19
2021-03-11,16.076406,16.57
2021-03-12,16.507063,16.49
2021-03-15,16.617132,16.33
2021-03-16,16.491085,16.61
2021-03-17,16.55097,16.74
2021-03-18,16.69165,16.78
2021-03-19,16.776312,17.1
2021-03-22,16.96528,16.92
2021-03-23,16.945198,16.79
2021-03-24,16.827623,16.57
2021-03-25,16.651049,16.47
2021-03-26,16.525816,16.25
2021-03-29,16.374178,16.37
